"repeat_id","fold","family","n","native_log_loss","native_auc","source_auc"
5,7,"marginal",160,0.473284665379839,0.5,0.5
5,7,"verb_only",160,0.441451924232958,0.652540142142669,0.702290076335878
5,7,"nonverb",160,0.292584675254147,0.903527244011582,0.88878652276915
5,7,"full_core",160,0.282569039183924,0.909976309555146,0.905764674914451
5,8,"marginal",160,0.473284665379839,0.5,0.5
5,8,"verb_only",160,0.440303502218539,0.610555409318242,0.610555409318242
5,8,"nonverb",160,0.209507937882099,0.945643590418531,0.911160831797842
5,8,"full_core",160,0.203155929995296,0.955646222690182,0.896946564885496
5,9,"marginal",160,0.445207158575401,0.5,0.5
5,9,"verb_only",160,0.421119237309424,0.600889781859931,0.609787600459242
5,9,"nonverb",160,0.160877683489178,0.977324913892078,0.942594718714122
5,9,"full_core",160,0.170533545744095,0.972301951779564,0.949626865671642
5,10,"marginal",159,0.494173756058568,0.5,0.5
5,10,"verb_only",159,0.471069005584232,0.627646169354839,0.640246975806452
5,10,"nonverb",159,0.289737234722647,0.879914314516129,0.846396169354839
5,10,"full_core",159,0.280739703568251,0.895287298387097,0.86882560483871
